,description
0,
1,这是一个资讯爆炸的时代，你所选择的资讯将决定你的视野；你所选择的电视频道，将会决定你的未来 2015公视电视募款http://www.pts.org.tw/donate2015_end/donate.html 公视的捐款专线：02-2633-9922；邮政划拨帐号：19213335，户名：?公共电视 另外您也可以...
2,
3,
4,叶明兰、叶镇中 / 采访报导 「再不救，就来不及了！如果没有很强力的救，再三十年，你可能找不到鹿港的味道了！「两百年以上的老房子，消失的速度非常快，大概每个月，就有一栋被拆！」 一府二鹿三艋舺，曾经是清朝重要商港的鹿港小镇，因为保留老城区的风貌，每年湧入六百万以上的游客，但是，随著商机进入，一间间老房子，开始被拆除改建。当一间又一间百年历史的老屋消失，鹿港还是鹿港吗？ 有一…
5,世界12强棒球赛中华队林智胜，8局下在前一棒郭严文被故意保送成一、二垒有人，轰出左外野3分全垒打，将平手比数超前，以4比1击败古巴，在2006年洲际杯之后，隔9年再度击败古巴，在A组预赛取得2胜2败。
6,
7,今天(14日)「大师兄」林智胜单场被看扁2次...
8,
9,中华队今天(14日)写下历史性的一页，以4比1击败古巴队，这是相隔29年之久，再次于成人组顶尖赛事击败红色闪电...
10,12强中华队14日分组预赛对上古巴队，中华队派出宋家豪担任先发，前7局双方战成1比1平手，8局上高国辉演出精彩外野阻杀，下半局中华队随即发动攻势，古巴选择故意四坏郭严文，林智胜不让对手看不起，一棒轰出左外野3分砲，帮助中华队前8局打完，取得4比1领先。
11,公视《灿烂时光》剧中描绘二二八事件后一场刑求戏码，令人怵目惊心地在巫建和身上真实还原，拍摄时巫建和哭到不行，难过透露：「我只是拍了几小时，当年他们把这个苦难当作过日子。」连现场工作的硬汉录音师看了也不忍，戏一停立刻到旁啜泣。
12,金钟奖演员尹馨；知名作家白先勇、刘墉；音乐精灵黄韵玲、以及名主持人曾国城、曾宝仪，他们的小投资大报酬是什么呢？ 2015公视电视募款http://www.pts.org.tw/donate2015/index.html 公视年中电视募款Live活动于7/7(二)~7/12(日)于公视频道13台播出 公视的捐款专线...
13,
14,
15,文／泡芙小姐 上一次…
16,两人的浪漫爱情故事最为人称羨。阳岱钢曾三次求婚，二○一○年底比赛中场、万名球迷见证下，阳岱钢第三次求婚...
17,中华队长林智胜在台古大战前夕亲手写信，逐一塞在下榻旅馆的门缝...
18,
19,
20,2015年十二强赛对战古巴，林智胜在八局下挥出三分全垒打，扭转战局，帮助台湾夺下胜利，无数球迷在电视机前感动流泪，林智胜成为台湾英雄。然而，在光荣的一刻来临前，他曾经历无数黑暗。
21,
22,世界12强赛中华队今天中午在预赛最后一场出战波多黎各，派出郭俊麟先发，此役将决定两队何者晋级。前3局结束，双方仍以0比0平手，但4局上林智胜敲出阳春砲，目前中华队1比0领先波多黎各。
23,
24,中华队本届世界12强棒球赛预赛2胜3败，晋级8强的机会非常渺茫，总教练郭泰源说：「选手都已经为国家尽了全力，输球是我要负责。」
25,从三级棒球时期一直到成棒，林智胜都是万众瞩目的长打好手，身材条件、打击火力、内野全面性的守备能力都很出众，也一直是中华队的常客，成为国家代表队多年来寄予厚望的强打少年，这位脸上总是带著灿烂笑容的球员，内
26,中华队与古巴14日晚间在洲际球场进行关键战，林智胜8局下扫出左外野3分轰，帮助台湾突破僵局，终场以4比1力克古巴，演出精彩的一场胜利。
27,在嘉义有一个温暖的故事，有一位隔代教养的国小男童在作业上写下，「如果可以希望有个妈妈」老师看了觉得很揪心，就在联络簿回应这位学生「如果可以，把老师当作你在学校的妈妈」 ...
28,
29,（中央社记者林宏翰台中14日电）林智胜赛前的一封信，向队友宣告「一觉睡醒之后，让我们一起创造吧」，他果然展现队长风范，第8局的三分全垒打震撼洲际球场，在2万地主球迷面前中华队4比1击败古巴队。 | 重点新闻
30,
31,
32,
33,首届世界棒球12强赛台湾队想拼晋级处于弱势，今晚对上古巴队将全力抢胜，上一场因赛前练习脚有拉伤的阳岱钢，以及对加拿大遭触身球砸中手指的「小胖
34,「你整天在那里说老蒋多伟大，那怎么整个大陆都丢掉了呢？」加入中国青年军参与对日战争，随后又随国民政府来台湾，对国家充满热忱的他怎样也想不到，...
35,〔记者林柏辰／综合报导〕世界12强棒球赛，台湾与古巴激战9局，最后靠著队长林智胜的三分砲赢下比赛，赛后林智胜表示，很像做梦一样，很久没赢古巴了。林智胜敲出三分砲。（记者陈志曲摄）古巴教练梅萨，两次选择故意保送第二棒郭严文，想抓第三棒的林智胜，大师兄则表示，「第一次有点吓到，后来发现对方投手的滑球对右
36,
37,
38,艺人「粉红猪」锺欣凌今天上午顺利产下二女儿「二宝」，体重3580克，母女均安，锺欣凌大女儿「兔宝」也好开心。
39,
40,「兵不厌诈！这是战争！」世界12强棒球赛，中华队迎战古巴，落败可能不会晋级，也可能比较同组其它队对战。关键一役，打完6局分数被追平成1比1，转播时有网友发现，有「护国球僮」之称的正妹Silvia坐在敌军牛棚，其中一人目不转睛盯她盯入了神，网友忍不住戏称这是战术「美人计」，用来牵制古巴。
41,第一届世界12强棒球锦标赛今天(11日)晚间在台中洲际棒球场举行，由中华队出战义大利队，先发投手郭俊麟表现出色，共投出10次三振，成功压制义大利队的打击火力；林智胜 ...
42,
43,台湾与古巴14日晚间在洲际球场进行关键战，队长林智胜写一封信鼓励队友，信中写著：「今天这场比赛，我们中华队百分之两百的努力，已经让全台湾都看见了，明天开始，谁都不是一个人，因我们是一个彼此相挺的TEAM！」
44,
45,中华队12日8：9惜败加拿大，虽然现场近1.5万球迷带著失望离开，但过程高潮迭起，对方教头Ernie Whitt也讚扬...
46,
47,
48,
49,中华队15日在洲际球场苦战12局后败给波多黎各，总教练郭泰源赛后肯定选手表现，「永不放弃的精神，在这次比赛中，大家都看得到……当然结果是这样，还是由我来负起责任。」
50,
51,
52,
53,「日本天皇已经对外正式宣布投降，我们当主人的时代已经到了，等你哥哥从战场回来，我们一家人好好打拼。未来，台湾就要交给你们这一代了。」那时他们从未想过，...
54,〔体育中心／综合报导〕12强预赛，台湾与波多黎各缠斗12局，最后被敲出再见满贯砲结束比赛，而同组的义大利也因1分差不敌古巴，与台湾双双出局。不仅台湾球迷扼腕，背负著国家压力的义大利教头也在支开球员后独自落泪。义大利12强与台湾同为A组，预赛5战全败，但最后一场对古巴的比赛也打出斗志，1：2惜败。嘉大
55,
56,
57,
58,
59,"八仙乐园粉尘爆炸事件，各界送上关怀，日本富士系统株式会社公司总裁川口洋一郎写信来台湾，表示愿意捐赠昂贵的烫伤敷料，这种不沾黏矽胶纱布市价昂贵，台湾已经没有进口，卫福部特别专案处理，这批来自日本的爱心已经快递抵达台湾。(敷料,八仙乐园,粉尘爆炸)"
60,
61,田馥甄在脸书转贴顶新劣油案，一审判决相关6人无罪新闻，她叹：「IS不用出动，因为这个（判决）就是一个恐怖攻击。唉...」
62,郭俊麟。（资料照，记者廖耀东摄）〔体育中心／综合报导〕礼拜三才对义大利投7局，只休息3天披挂再上，台湾队先发投手郭俊麟用114球完成8局好投，只被波多黎各击出6支安打，因暴投失掉唯一1分，飙出10次三振，而且没有投出任何保送，虽然台湾队在延长12局下半因再见全垒打落败，但郭俊麟「燃烧自我」的表现，已
63,
64,"#我们一路相挺 【中古之战】

林智胜在前一位打者郭严文连续两次被故意四坏球保送的情况下，用三分砲告诉古巴我是这个球队的最强第三棒。

ps.原来...赛前大师兄这个动作是在吸锋哥国际赛的能力。

即时战况：八局下半尚未结束 / 中华队 4：1 古巴

CPBL 中华职棒 & WBSC 一起为12强中华队加油。

集气活动：https://goo.gl/DPNx5o
集气影片：https://goo.gl/EQqt64"
65,
66,（中央社记者林宏翰台中15日电）世界12强棒球锦标赛，中华队遭波多黎各再见满贯砲输球。赛后有人问总教练郭泰源，会不会后悔前一战对古巴耗尽主力牛棚？他打断提问「不可以讲这种话 ...
67,公视戏剧「一把青」播出后受到好评，剧中吴慷仁使劲耍帅把妹，演员蓝钧天说，「当初看剧本，看到吴慷仁要光著上半身拖飞机，多帅...
68,导演曹瑞原10年前的「孤恋花」，除了故事剧情深刻人心，绮丽、时代感的服装造型也让人...
69,
70,（中央社记者程启峰高雄18日电）高雄市鼎金国中毕旅车祸重伤学生韩佳玲下肢严重骨折，一度传出恐需截肢，经送医手术，接肢手术成功，消息传来，师生今晚直呼「上天保祐」 ...
71,
72,
73,14日中华队以4比1击败古巴队，8局上高国辉意外秀出「彩虹雷射肩」，成功阻杀跑者在本垒，守住当时领先局面非常关键。
74,
75,
76,
77,
78,台湾队34岁铁捕高志纲，今天与波多黎各之战后，正式宣告自己将从国家队退出，结束他16年国家代表队的生涯。他说：「谢谢国家队这么多年来带给我的
79,施文彬所属的乱音制作有限公司稍早声明：「基于个人理念，本人施文彬命令中国所有地区，即日起全面下架所有与本人有关的任何音乐，及歌曲，和有本人肖像之所有内容物，未来，在台湾所有中国企业之通告，本人一概不接
80,「我们的台语、闽南语，很常被冠上一个low、俗的东西，但仔细去探究就会发现很多很美的东西……」——演员庄凯勋。 「这台语不是很道地！」...
81,台湾队郭俊麟连续2场飙出10K。（资料照，记者陈志曲摄）〔体育中心／综合报导〕晋级世界12强棒球锦标赛8强关键战役，旅日投手郭俊麟昨先发波多黎各缴出优质先发，主投8局只失1分，飙10K，虽然最后无缘夺胜，但大受西武狮前监督、现任球团高级顾问渡边久信的肯定。渡边久信11日晚间抵台错过郭俊麟对义大利的好
82,日本JR东海道线，今天早上发生架线断电的意外，导致电铁停在铁轨上，共有5000多人受到影响，被迫要下车步行...
83,（中央社记者李晋纬台北15日电）中华队今天在世界12强棒球赛与波多黎各杀进突破僵局制的延长赛，12局下挨了对手再见满贯砲吞败。虽然中华队历年在突破僵局赛制互有胜负 ...
84,当我得知公共电视的《老师您哪位》获得 NHK 日本赏时，感到十分惊喜，那个奖，在全世界的儿童节目领域拥有等同奥斯卡的地位，然而，得了这么大的奖，台湾媒体却没什么报导...
85,在1945年到1981年国共内战时期，空军男儿，是那个时代下的”把妹”高手。帅气驾驶战机，翱翔在天空中，一身帅气军服，让少女神魂颠倒。作家白先勇在《一把青》的这个故事里，写的是空军和其眷属的故事，透过这个特殊的族群，传达出那个时代下的爱情观、国家观、生命观。
86,今年十月初，一则国际太空站（International Space Station，ISS）飞越台北上空，滑过天幕5分钟的消息，引起台湾民众热烈讨论。但是，你知道国际太空站从外太空拍下的台湾，究竟是什么模样吗？现在带你一探究竟！
87,"一名网友爆自己超可爱儿子的料，「」因为宝贝儿子剪的发型激似零食「小瓜呆脆笛酥」封面上人物，可爱圆眼及超萌笑容，也让许多网友看了融化，贴文2小时多，就吸引2万多人按讚，大家纷纷表示「根本一模模一样样！」(小瓜呆,脆笛酥)"
88,
89,
90,▲(图：资料画面取自郑多彬dabin_j4 Instagram)15岁的郑多彬是韩国新窜起的「国民妹妹」，五官甜美气质清新，10年前她曾经在当红韩剧《美妙人生》里 ...
91,
92,大自然处处有惊奇，日本网友日前在社交网站公布一张黄昏的云景照，竟然像一只大鹏展翅的黄金鸟，惊豔不少网友，该名PO照网友更称，这是「不死鸟」。日本网友「青??」在推特PO出一张黄昏云景照并表示，日本出现不死鸟，由于这张照片像极一只大鹏展翅的黄金鸟，短短几天便引发大批网友转贴、分享。
93,"新北市八仙乐园粉尘爆炸意外造成逾400人受伤，其中一位即将升高三的游姓男同学目前仍在加护病房中急救，亲友得知消息后纷纷在脸书上为他集气加油，「这时候不该睡觉了，明天还要段考呢，醒醒好吗，大家都在等你。」(八仙乐园,粉尘爆炸,八仙海岸,彩色趴,彩色派对,墨花)"
94,「没想到我演的角色真的存在！」她在演这部戏前完全无法想像，没犯下任何罪的怀孕妇女也会被抓去坐牢、在狱中生下孩子、之后还被枪决，竟是真实存在过的历史...
95,
96,"南韩女团「TWICE」台籍成员周子瑜，因为在节目中挥舞中华民国国旗被黄安瞎指为「台独」，大陆网友更是群起挞伐，扬言抵制经纪公司旗下所有艺人，导致子瑜最后被JYP要求念声明稿道歉，此举引起台湾人的心疼和不满，连韩籍电竞选手Olleh也不能理解，他认为「台湾人拿中国国旗才奇怪。」(子瑜,JYP,TWICE,英雄联盟,Olleh)"
97,下车记得关门很重要！国外一名网友11/24在Imgur发文表示，自己下车卸货，没有关驾驶座的车门，等到他回来后...　
98,〔体育中心／综合报导〕休息3天，今天在台波之战力投114球、表现优异的的先发投手郭俊麟，稍早比赛结束之后更新了他的脸书动态，写著大家今天辛苦了，「球迷们也辛苦了。今天是一场很精彩的比赛，很抱歉，没有帮助台湾赢球。」郭俊麟稍早更新脸书动态。（取自郭俊麟 Chun-Lin KUO 粉丝团）这则动态更新短
99,
100,澳洲雪梨知名风景区「邦迪海滩」(Bondi Beach)周五（6日）上午出现奇特景象，整个天空被一片貌似海啸的积雨云带（thunderhea
101,世界12强棒球锦标赛，中华和古巴14日晚间在台中洲际棒球场交手，战况激烈，最后以4比1击败敌对，这也是睽违29年后再度击败古巴，不仅全民狂在电视机前振奋呐喊，演艺圈众星也齐po文庆祝。
102,
103,世界12强棒球赛，中华队今天(9日)首战遭遇荷兰队，1局上先发投手陈冠宇失掉1分，1局下阳岱钢马上敲出阳春砲追平战局。
104,据《今日头条》报导，这只流浪狗在垃圾桶发现了一个小婴儿，从照片上来，脐带还连在身上，感觉像是一出生就被抛弃，狗狗叼起弃婴后，很聪明地叼到附近住户家，住户发现后赶紧将婴儿送医检查，但目前婴儿仍然有生命危险。
105,
106,
107,世界12强棒球赛中华队预赛最后一战15日出战波多黎各，虽然双方缠斗到第12局，但中华队最终以4比7落败，让不少观众看了捶心肝。不过，晚间义大利队上古巴，若义大利胜，中华队有望进入8强。吴宗宪也公开替义大利队集气，「我们还是有希望的。」
108,9月12日，台南球场Lamigo桃猿林智胜的连三打席全垒打，生涯首次单场三响砲，这其中也包含「大师兄
109,
110,
111,
112,25日起，一连3、4天将有入秋后最强一波冷空气南下，气温恐...
113,〔记者吴清正／台中报导〕台湾队高志纲今天在延长赛第11局打出1分打点安打，让球迷高喊「又是高志纲！」但是高志纲感受到新时代已经来临，世界12强棒球赛将是他的最后1次国际赛。11局的打击是高志纲在12强赛的第2个打数、第1支安打，帮助台湾队取得2分领先，让球迷想起高志纲多次在国际赛的关键一击，不过，高
114,
115,《灿烂时光》以二二八、中坜事件、美丽岛事件为时代背景，串连起台湾争取民主自由的历史轨迹，是首部台湾人史观的电视连续剧，这也是导演郑文堂暌违13年继《寒夜续曲》后的 连续剧作品。内容...
116,
117,"【IN-PREVIEW】- #独立预告 《面包的原味》
1/13 周三晚间十点 公视频道 http://goo.gl/agY7NH　

在地食材，原味料理，严格规范，是奥地利原味面包的坚持。"
118,"美国科罗拉多州（Colorado）日前发生一起车祸，一家六口疑似因车子爆胎翻覆，造成父亲当场死亡，母亲及其他3个孩子送医抢救。一名警察不忍让现场2岁女童看到爸爸死亡，于是一手抱著她，一手指向远方，想移转小女童的注意力。此景被路过民众拍下，让不少网友看了为之动容，称讚这位警察行为让人感动。(科罗拉多州,警察,车祸,女童)"
