a   adjective：形容词                           美丽
b   other noun-modifier：其他的修饰名词          大型, 西式
c   conjunction：连词                           和, 虽然
d   adverb：副词                                很
e   exclamation：感叹词                          哎
g   morpheme    茨, 甥
h   prefix：前缀                                 阿, 伪
i   idiom：成语                                  百花齐放
j   abbreviation：缩写                           公检法
k   suffix：后缀                                 界, 率
m   number：数字                                 一, 第一
n   general noun：一般名词                       苹果
nd  direction noun：方向名词                     右侧
nh  person name：人名                           杜甫, 汤姆
ni  organization name：公司名                   保险公司
nl  location noun：地点名词                     城郊
ns  geographical name：地理名词                 北京
nt  temporal noun：时间名词                     近日, 明代
nz  other proper noun：其他名词                 诺贝尔奖
o   onomatopoeia：拟声词                        哗啦
p   preposition：介词                          在, 把
q   quantity：量词                             个
r   pronoun：代词                              我们
u   auxiliary：助词                            的, 地
v   verb：动词                                 跑, 学习
wp  punctuation：标点                          ，。！
ws  foreign words：国外词                      CPU
x   non-lexeme：不构成词                       萄, 翱
